,Block,Median Income,Median Year Structure Built,Poverty Rate,Employment Rate,Qualify Rate
0,811400-1,21761,1939,0.0,0.25,12.14
1,812103-1,52154,1953,0.08,0.51,2.99
2,811500-1,23594,1959,0.01,0.26,15.48
3,812001-2,27153,1951,0.12,0.27,6.02
4,812104-1,31208,1939,0.02,0.41,4.52
5,811400-2,15536,1950,0.01,0.23,7.61
6,812101-2,56058,1964,0.11,0.55,2.36
7,811800-1,28750,1939,0.05,0.34,3.12
8,812104-3,61618,1939,0.06,0.63,0.91
9,812001-1,14229,1951,0.05,0.26,15.19
10,811800-2,19063,1939,0.08,0.28,22.42
11,811600-4,18594,1939,0.06,0.26,9.13
12,811500-2,16111,1952,0.0,0.14,20.12
13,812001-3,22670,1941,0.1,0.42,6.42
14,811800-5,45343,1939,0.03,0.46,3.17
15,812103-2,48864,1971,0.12,0.37,1.46
16,811800-3,43850,1939,0.07,0.54,3.89
17,811700-2,32548,1970,0.05,0.31,2.26
18,811600-2,31284,1939,0.0,0.31,11.24
19,812104-4,59688,1939,0.17,0.48,0.52
20,811600-3,68382,1939,0.12,0.34,1.64
21,811600-1,10107,1945,0.02,0.28,9.37
22,811700-1,14385,1939,0.1,0.15,5.1
23,812002-1,51806,1955,0.07,0.35,0.67
24,812002-4,70795,1939,0.08,0.52,0.62
25,812104-2,58000,1939,0.13,0.5,1.63
26,811800-4,104375,1939,0.13,0.8,1.79
27,812101-1,70625,1976,0.2,0.55,0.34
28,811900-1,110583,1951,0.1,0.61,3.29
29,812101-3,81719,1958,0.19,0.57,0.33
